Constituency
Aberavon
Aberconwy
Aberdeen North
Aberdeen South
Airdrie and Shotts
Aldershot
Aldridge-Brownhills
Altrincham and Sale West
Alyn and Deeside
Amber Valley
Angus
Arfon
Argyll and Bute
Arundel and South Downs
Ashfield
Ashford
Ashton-under-Lyne
Aylesbury
Ayr Carrick and Cumnock
Banbury
Banff and Buchan
Barking
Barnsley Central
Barnsley East
Barrow and Furness
Basildon and Billericay
Basingstoke
Bassetlaw
Bath
Batley and Spen
Battersea
Beaconsfield
Beckenham
Bedford
Belfast East
Belfast North
Belfast South
Belfast West
Bermondsey and Old Southwark
Berwick-upon-Tweed
Berwickshire Roxburgh and Selkirk
Bethnal Green and Bow
Beverley and Holderness
Bexhill and Battle
Bexleyheath and Crayford
Birkenhead
Birmingham Edgbaston
Birmingham Erdington
Birmingham Hall Green
Birmingham Hodge Hill
Birmingham Ladywood
Birmingham Northfield
Birmingham Perry Barr
Birmingham Selly Oak
Birmingham Yardley
Bishop Auckland
Blackburn
Blackley and Broughton
Blackpool North and Cleveleys
Blackpool South
Blaenau Gwent
Blaydon
Blyth Valley
Bognor Regis and Littlehampton
Bolsover
Bolton North East
Bolton South East
Bolton West
Bootle
Boston and Skegness
Bosworth
Bournemouth East
Bournemouth West
Bracknell
Bradford East
Bradford South
Bradford West
Braintree
Brecon and Radnorshire
Brent Central
Brent North
Brentford and Isleworth
Brentwood and Ongar
Bridgend
Bridgwater and West Somerset
Brigg and Goole
Brighton Kemptown
Brighton Pavilion
Bristol East
Bristol North West
Bristol South
Bristol West
Broadland
Bromley and Chislehurst
Bromsgrove
Broxbourne
Broxtowe
Buckingham
Burnley
Burton
Bury North
Bury South
Bury St Edmunds
Caerphilly
Caithness Sutherland and Easter Ross
Calder Valley
Camberwell and Peckham
Camborne and Redruth
Cambridge
Cannock Chase
Canterbury
Cardiff Central
Cardiff North
Cardiff South and Penarth
Cardiff West
Carlisle
Carmarthen East And Dinefwr
Carmarthen West and South Pembrokeshire
Carshalton and Wallington
Castle Point
Central Ayrshire
Central Devon
